"","time","bs","pv","npv"
"1",1987-10-09 23:33:01.13559,4.63636363636364,37.8727272727273,56.3272727272727
"2",1987-10-25 23:33:16.018743,9.79338842975207,34.0413223140496,54.8925619834711
"3",1987-11-10 23:33:38.064944,3.70247933884298,40.7520661157025,54.396694214876
"4",1987-11-26 23:33:55.7103,15.2314049586777,35.6115702479339,48.2644628099174
"5",1987-12-12 23:34:08.816518,13.2336448598131,35.3457943925234,50.196261682243
"6",1988-01-13 23:34:41.408579,11.0826446280992,39.9173553719008,47.8181818181818
"7",1988-01-29 23:34:59.393115,9.70247933884298,40.4876033057851,48.5371900826446
"8",1988-02-14 23:35:15.837355,7.27272727272727,46.2479338842975,45.2892561983471
"9",1988-03-17 23:35:35.232775,10.0330578512397,45.0909090909091,43.7685950413223
"10",1988-04-18 23:35:46.778584,4.60330578512397,49.2231404958678,45.1570247933884
"11",1988-05-04 23:35:55.420697,5.47933884297521,45.5867768595041,47.9090909090909
"12",1988-05-20 23:36:04.36179,11.9586776859504,41.5123966942149,45.1074380165289
"13",1988-06-21 23:36:15.357707,5.6198347107438,47.4380165289256,45.603305785124
"14",1988-07-07 23:36:18.864091,5.00826446280992,48.3636363636364,45.3884297520661
"15",1988-07-23 23:36:21.855598,6.60330578512397,44.4545454545455,47.8181818181818
"16",1988-08-08 23:36:21.020799,8.57851239669422,44.9338842975207,45.3057851239669
"17",1988-08-24 23:36:25.440834,6.79338842975207,43.0082644628099,48.8347107438017
"18",1988-09-25 23:36:19.055584,10.198347107438,37.0495867768595,51.7107438016529
"19",1988-10-11 23:36:12.854309,9.26446280991735,35.0247933884297,54.3636363636364
"20",1988-10-27 23:36:12.015491,8.29752066115702,34.2892561983471,56.1404958677686
"21",1988-11-12 23:36:14.117907,9.07438016528926,34.3801652892562,55.2479338842975
"22",1988-11-28 23:36:13.891182,14.6280991735537,27.2066115702479,57.1322314049587
"23",1988-12-14 23:35:59.801675,12.9173553719008,29.7768595041322,56.2809917355372
"24",1988-12-30 23:35:57.848973,6.71074380165289,43.1570247933884,48.9338842975207
"25",1989-01-15 23:35:46.111511,6.28925619834711,52.8181818181818,39.6528925619835
"26",1989-02-16 23:35:37.078707,4.55371900826446,57.3636363636364,36.9586776859504
"27",1989-05-23 23:34:02.729736,2.88429752066116,53.3057851239669,42.8181818181818
"28",1989-06-24 23:33:47.397877,6.0495867768595,51.2727272727273,41.4132231404959
"29",1989-07-26 23:32:47.631513,24.3,32.5,42.1
"30",1989-08-11 23:32:26.055354,5.30578512396694,47.0330578512397,46.4462809917355
"31",1989-08-27 23:32:06.28221,5.64462809917355,45.7520661157025,47.5289256198347
"32",1989-09-12 23:31:34.941088,7.20661157024793,41.4793388429752,50.0495867768595
"33",1989-09-28 23:31:21.886395,8.63636363636364,37.7355371900826,52.5123966942149
"34",1989-10-14 23:30:48.94322,6.15702479338843,36.2809917355372,56.5289256198347
"35",1990-03-07 23:26:25.781793,6.21487603305785,36.5867768595041,56.1735537190083
"36",1990-04-24 23:25:52.451771,2.29752066115702,50.0661157024793,46.6859504132231
"37",1990-06-11 23:25:49.344756,3.75206611570248,53.3801652892562,41.6198347107438
"38",1990-06-27 23:25:48.232451,4.32231404958678,52.9669421487603,41.6363636363636
"39",1990-07-13 23:25:45.656568,2.92561983471074,50.4628099173554,45.4380165289256
"40",1990-07-29 23:25:41.378779,5.48760330578512,46.1404958677686,47.4214876033058
"41",1990-08-14 23:25:37.223965,7.09917355371901,44.099173553719,47.6776859504132
"42",1990-08-30 23:25:29.882811,23.2,21.2,54.6
"43",1990-09-15 23:25:29.161339,7.81818181818182,38.6942148760331,52.2892561983471
"44",1990-10-01 23:25:15.682173,9.15702479338843,35.3719008264463,54.3884297520661
"45",1990-10-17 23:25:11.051274,7.81818181818182,35.5950413223141,55.396694214876
"46",1990-11-18 23:25:05.963081,9.00826446280992,30.4214876033058,59.495867768595
"47",1990-12-04 23:24:50.890673,7.91735537190083,32.3305785123967,58.6198347107438
"48",1990-12-20 23:25:11.704119,7.3801652892562,32.5785123966942,58.8925619834711
"49",1991-01-21 23:26:04.991584,2.47107438016529,52.2396694214876,44.1900826446281
