"","time","x","y","bs","pv","npv","ue","spatial_ref"
"1",1987-09-16 00:20:21.720959,557985,-1847085,21.2,30.6,46.76,10.4,3577
"2",1987-10-02 00:20:42.699399,557985,-1847085,25.44,27.2,46.08,10.56,3577
"3",1987-10-18 00:21:00.105717,557985,-1847085,25.04,27.4,46.16,10.24,3577
"4",1987-11-03 00:21:17.909618,557985,-1847085,19,28.36,51.28,11.52,3577
"5",1987-12-05 00:21:53.050062,557985,-1847085,19.08,31.64,48.16,12.28,3577
"6",1987-12-21 00:22:07.165603,557985,-1847085,13.8,30.88,54,10.96,3577
"7",1988-01-06 00:22:23.0793,557985,-1847085,14.28,35.6,48.96,14,3577
"8",1988-01-22 00:22:40.453556,557985,-1847085,21.72,33.76,43.32,13.2,3577
"9",1988-02-23 00:23:12.778543,557985,-1847085,19.44,29.52,49.96,12.84,3577
"10",1988-03-10 00:23:22.179391,557962.058823529,-1847083.23529412,8.05882352941176,17.2352941176471,73.1764705882353,4.64705882352941,3577
"11",1988-04-11 00:23:35.150752,557985,-1847085,18.96,25.8,53.88,12.96,3577
"12",1988-04-27 00:23:40.027384,557985,-1847085,22.68,22.52,53.48,12.76,3577
"13",1988-05-13 00:23:51.283775,557985,-1847085,21.84,21.56,55.24,12.4,3577
"14",1988-05-29 00:23:58.05481,557985,-1847085,23.56,18.72,56.32,12.88,3577
"15",1988-06-14 00:24:03.677777,557985,-1847085,28.88,17.24,52.48,12.72,3577
"16",1988-06-30 00:24:08.761228,557985,-1847085,21.56,19.44,57.8,12.84,3577
"17",1988-08-01 00:24:13.680594,557985,-1847085,24.96,17.08,56.68,11.92,3577
"18",1988-09-02 00:24:17.092912,557941.666666667,-1847075,40.5555555555556,10.8888888888889,47.1111111111111,6.66666666666667,3577
"19",1988-09-18 00:24:13.498946,557985,-1847085,32.48,15.48,50.8,11.32,3577
"20",1988-10-04 00:24:08.199312,557985,-1847085,24.24,16.2,58,11,3577
"21",1988-10-20 00:24:02.206011,557985,-1847085,24.6,16.16,57.88,11.2,3577
"22",1988-12-07 00:23:58.104493,557985,-1847085,22.44,19.32,57.16,10.8,3577
"23",1989-01-08 00:23:46.62446,557985,-1847085,19.96,29.6,49.28,13.16,3577
"24",1989-02-09 00:23:29.186403,557985,-1847085,14.88,36.44,47.44,12.76,3577
"25",1989-02-25 00:23:20.568238,557985,-1847085,20.48,31.68,46.56,13.52,3577
"26",1989-04-14 00:22:35.753687,557985,-1847085,27.04,32.68,39.16,14.36,3577
"27",1989-04-30 00:22:17.167022,557985,-1847085,12.84,38.16,47.72,13.96,3577
"28",1989-05-16 00:21:59.884725,557985,-1847085,13.6,36.12,49.08,13.6,3577
"29",1989-06-01 00:21:47.333173,557985,-1847085,13.92,34.2,50.72,13.4,3577
"30",1989-06-17 00:21:19.979748,557985,-1847085,15.6,33.4,49.88,13.64,3577
"31",1989-07-19 00:20:47.078113,557985,-1847085,18.2,30.44,49.88,13,3577
"32",1989-08-04 00:20:27.625146,557985,-1847085,20.52,27.52,50.6,12.08,3577
"33",1989-08-20 00:20:04.947672,557985,-1847085,22.48,27,49.2,12.44,3577
"34",1989-09-05 00:19:46.059914,557985,-1847085,19.68,27.16,51.96,11.88,3577
"35",1989-09-21 00:19:14.342799,557985,-1847085,20.64,26.12,52,11.28,3577
"36",1989-10-07 00:19:03.496933,557985,-1847085,20.76,25.72,52.24,11.12,3577
"37",1989-11-08 00:18:02.226936,557985,-1847085,18.28,25.2,55.2,9.92,3577
"38",1989-12-10 00:17:05.8027,557985,-1847085,10.32,34.36,54.4,12.56,3577
"39",1989-12-26 00:16:39.121263,557985,-1847085,13.28,30.96,54.68,13.36,3577
"40",1990-02-12 00:15:05.735734,557985,-1847085,16.24,29.52,53,12.8,3577
"41",1990-03-16 00:14:01.315394,557985,-1847085,15.8,27.2,55.84,12.68,3577
"42",1990-04-01 00:13:33.38339,557985,-1847085,13.76,24.24,61.04,14.48,3577
"43",1990-04-17 00:13:43.815557,557985,-1847067,23.8,13.6,61.2,20.8,3577
"44",1990-05-03 00:13:35.746264,557985,-1847085,17.88,20.52,60.48,12.76,3577
"45",1990-06-04 00:13:40.454722,557990.454545455,-1847095.90909091,27.0909090909091,10.0909090909091,61.7272727272727,17.5454545454545,3577
"46",1990-07-06 00:13:37.160017,557985,-1847085,27.8,15.12,55.84,12.04,3577
"47",1990-07-22 00:13:33.157245,557985,-1847085,26.04,11.92,60.76,12.2,3577
"48",1990-08-07 00:13:29.23392,557985,-1847085,26.08,13.64,59.08,11.76,3577
"49",1990-08-23 00:13:24.245028,557985,-1847085,28.04,13.32,57.4,11.72,3577
"50",1990-09-08 00:13:19.062242,557985,-1847085,27.12,13.08,58.44,11.24,3577
"51",1990-09-24 00:13:15.291577,557985,-1847085,24.52,12.68,61.52,11.08,3577
"52",1990-10-26 00:13:00.514426,557985,-1847085,27.92,14.16,56.56,10.92,3577
"53",1990-11-11 00:12:59.957212,557985,-1847085,27.36,12.36,59.08,10.8,3577
"54",1990-11-27 00:12:47.641224,557985,-1847085,24.24,13.16,61.36,11.44,3577
"55",1990-12-13 00:12:49.976563,557985,-1847085,24.96,16.36,57.28,11,3577
"56",1990-12-29 00:13:13.132238,557985,-1847085,25.84,14.32,58.56,10.52,3577
"57",1991-01-30 00:14:03.861637,557985,-1847085,9.88,28.52,60.56,15.84,3577
"58",1991-02-15 00:14:18.902937,557985,-1847085,7.96,32.68,57.96,12.48,3577
"59",1991-03-03 00:14:35.809106,557985,-1847085,12.48,38.24,47.92,13.04,3577
"60",1991-03-19 00:14:58.096534,557985,-1847085,11.44,39.48,47.8,13.4,3577
"61",1991-04-04 00:15:09.026696,557988.157894737,-1847067.63157895,12.7894736842105,35.2631578947368,50.6842105263158,11.2105263157895,3577
"62",1991-04-20 00:15:27.042098,557985,-1847085,11,42.08,45.68,13.56,3577
"63",1991-05-06 00:15:47.306367,557985,-1847085,12.4,37.12,49.24,13.44,3577
"64",1991-05-22 00:16:02.604767,557985,-1847085,12.84,35.96,50,13.28,3577
"65",1991-06-07 00:16:17.293253,557985,-1847085,12.48,33.84,52.44,13.12,3577
"66",1991-06-23 00:16:30.007092,557985,-1847085,13.92,31.64,53,13.04,3577
"67",1991-07-09 00:16:42.579404,557985,-1847085,13.64,31.52,53.52,12.88,3577
"68",1991-07-25 00:16:56.67027,557985,-1847085,19.6,25.76,53.52,11.4,3577
"69",1991-08-10 00:17:00.725117,557985,-1847085,20.96,27.24,50.44,12.12,3577
"70",1991-08-26 00:17:07.903962,557985,-1847085,28.44,23.24,46.8,10.92,3577
"71",1991-09-11 00:17:20.847884,557997.631578947,-1847072.36842105,17.8947368421053,24.4736842105263,56.4210526315789,10.4210526315789,3577
"72",1991-09-27 00:17:24.531206,557985,-1847085,18.2,23.32,57.16,10.8,3577
"73",1991-11-14 00:17:41.761181,557985,-1847085,20.64,22.28,55.76,10.88,3577
"74",1992-01-17 00:17:44.400647,557985,-1847085,22.32,25.48,51,11.96,3577
"75",1992-02-18 00:17:38.237299,557985,-1847085,18.64,29.24,50.84,12.64,3577
"76",1992-03-05 00:17:39.227589,557985,-1847085,16.92,29.08,52.96,13,3577
"77",1992-03-21 00:17:40.002712,557985,-1847085,25.4,23.04,50.44,10.36,3577
"78",1992-04-06 00:17:30.800153,557986.5,-1847085,27.6,18.45,52.9,11.2,3577
"79",1992-04-22 00:17:23.007225,557985,-1847085,22.72,18.92,57.08,12.24,3577
"80",1992-05-08 00:17:13.68032,557985,-1847085,23.04,17.52,58.24,12.16,3577
"81",1992-06-09 00:16:57.036162,557985,-1847085,27.2,14.68,56.72,12.32,3577
"82",1992-06-25 00:16:44.668379,557985,-1847085,30.52,13.52,54.56,11.48,3577
"83",1992-07-11 00:16:32.8189,557985,-1847085,32.2,9.24,57.12,11.92,3577
"84",1992-07-27 00:16:20.343046,557985,-1847085,28.04,13.08,57.72,11.6,3577
"85",1992-08-28 00:15:51.413909,557985,-1847085,26.52,14.04,58.36,11.32,3577
"86",1992-09-13 00:15:37.803215,557985,-1847085,18.32,15.04,65.4,13.36,3577
"87",1992-09-29 00:15:17.977307,557985,-1847085,24.92,17.28,56.4,11.56,3577
"88",1992-10-31 00:14:49.198795,557985,-1847085,24.52,15.12,59.24,10.68,3577
"89",1992-11-16 00:14:30.945535,557985,-1847085,23.8,13.32,61.72,10.64,3577
"90",1992-12-02 00:14:38.779682,557985,-1847085,23.68,16.92,58.24,11.08,3577
"91",1993-01-19 00:15:10.54256,557985,-1847085,15.72,29.84,53.24,13.8,3577
"92",1993-02-20 00:15:27.600275,557985,-1847085,10.76,36.52,51.68,11.92,3577
"93",1993-03-08 00:15:37.700633,557985,-1847085,11.88,37.68,49.28,15.56,3577
"94",1993-03-24 00:15:38.25155,557985,-1847085,15.12,37,46.52,13.08,3577
"95",1993-04-09 00:15:45.0703,557985,-1847085,19.68,33.6,45.48,12.68,3577
"96",1993-04-25 00:15:54.357169,557985,-1847085,17.72,33.04,48.04,13.04,3577
"97",1993-05-11 00:15:57.982051,557985,-1847085,18.4,30.48,49.76,13.04,3577
"98",1993-05-27 00:16:01.59303,557985,-1847085,18.24,29.8,50.48,12,3577
"99",1993-06-12 00:16:01.98535,557985,-1847085,14.8,28.72,55.28,12.8,3577
"100",1993-06-28 00:15:55.787386,557985,-1847085,18.16,28.72,51.84,12.44,3577
"101",1993-07-30 00:15:51.593624,557985,-1847085,19.84,27.24,51.76,12.04,3577
"102",1993-08-15 00:15:52.996703,557985,-1847085,23.6,24.04,51.12,12,3577
"103",1993-08-31 00:15:51.769101,557985,-1847085,23.64,24.36,50.68,11.6,3577
"104",1993-10-02 00:15:46.259591,557985,-1847085,16.88,24.32,57.72,11.28,3577
"105",1993-10-18 00:15:40.07575,557985,-1847085,15.68,23.56,59.52,11,3577
"106",1993-11-03 00:15:33.881617,557985,-1847075,9.38095238095238,13.5238095238095,75.9523809523809,7.76190476190476,3577
"107",1993-12-05 00:15:21.786147,557985,-1847085,33.84,20.4,44.24,11.96,3577
"108",1993-12-21 00:15:14.120957,558000,-1847130,29.5,16.75,52.75,9.75,3577
"109",1994-01-06 00:15:02.08397,557985,-1847085,30.44,23.68,44.64,10.12,3577
"110",1994-01-22 00:14:46.960159,557985,-1847085,33.8,21,43.8,11.44,3577
"111",1994-03-11 00:14:09.241947,557985,-1847085,20.64,32.56,45.68,13.72,3577
"112",1994-03-27 00:13:55.33945,557985,-1847085,23.36,31.36,43.96,12.56,3577
"113",1994-04-12 00:13:36.799458,557985,-1847085,31.72,24.4,42.36,11.68,3577
"114",1994-04-28 00:13:20.34661,557985,-1847085,43.36,20.92,34.48,7.68,3577
"115",1994-05-14 00:13:02.161215,557985,-1847085,30.48,22.52,45.52,11.12,3577
"116",1994-05-30 00:12:45.629665,557985,-1847085,32.36,22.04,44.52,11.12,3577
"117",1994-06-15 00:12:25.589106,557985,-1847085,32.64,20.52,45.48,11.12,3577
"118",1994-07-01 00:12:02.166748,557985,-1847085,35.08,19.92,43.64,11.08,3577
"119",1994-07-17 00:11:35.376375,557985,-1847085,35.52,19.76,43.52,10.88,3577
"120",1994-08-02 00:11:07.820408,557985,-1847085,39.08,18.12,41.52,10.76,3577
"121",1994-08-18 00:10:44.983488,557985,-1847085,37.12,18.52,42.88,10.48,3577
"122",1994-09-03 00:10:21.931936,557985,-1847085,33.92,20.24,44.56,10.08,3577
"123",1994-10-05 00:09:29.118413,557985,-1847085,31.28,19.16,48.36,10.32,3577
"124",1994-10-21 00:08:57.956939,557985,-1847085,32.44,18.52,47.72,10.52,3577
"125",1994-11-06 00:08:23.655951,557985,-1847085,36.44,17.04,45.24,10.68,3577
"126",1994-11-22 00:07:50.127755,557976.428571429,-1847082.85714286,40.9285714285714,13.3571428571429,44.1428571428571,14.7142857142857,3577
"127",1994-12-24 00:06:51.643967,557955,-1847071.66666667,40.7777777777778,15.1111111111111,42.5555555555556,20.5555555555556,3577
"128",1995-01-09 00:06:18.396284,557985,-1847085,23.04,25.16,50.48,13.56,3577
"129",1995-01-25 00:05:42.426466,557982.5,-1847082.5,25.4583333333333,21.875,52.0416666666667,12.4166666666667,3577
"130",1995-04-15 00:02:27.438387,557985,-1847085,14.68,39.32,44.84,12.56,3577
"131",1995-06-02 00:00:17.20854,557985,-1847085,15.92,33.04,49.68,12.04,3577
"132",1995-07-03 23:58:49.931166,557985,-1847085,18.84,27.04,52.92,12.4,3577
"133",1995-07-19 23:58:06.445257,557985,-1847085,21.24,28.56,48.76,11.64,3577
"134",1995-08-04 23:57:23.55946,557985,-1847085,20.8,28.32,49.36,11.16,3577
"135",1995-08-20 23:56:39.745598,557985,-1847085,20.32,28.12,50.2,11.16,3577
"136",1995-09-21 23:55:06.346671,557985,-1847085,22.12,26.2,50.36,10.8,3577
"137",1995-10-07 23:54:15.805732,557985,-1847085,16.08,25.56,57.16,10.76,3577
"138",1995-10-23 23:53:22.543106,557985,-1847085,18.12,23.48,57.12,10.88,3577
"139",1995-11-08 23:52:57.883899,557985,-1847085,17.44,23.08,58.36,10.84,3577
"140",1995-11-24 23:53:14.964033,557985,-1847085,18.72,21.6,58.44,12.72,3577
"141",1995-12-26 23:55:24.327312,557985,-1847085,22.32,26.28,50.16,9.36,3577
"142",1996-04-01 00:01:54.963854,557985,-1847085,14.8,29.96,54,19.16,3577
"143",1996-04-17 00:02:54.301806,557985,-1847085,11.28,34.44,53.32,14.76,3577
"144",1996-05-03 00:03:51.734347,557985,-1847085,13.56,31.8,53.48,13.88,3577
"145",1996-05-19 00:04:47.581598,557985,-1847085,14.2,30.68,53.84,13.72,3577
"146",1996-06-04 00:05:41.460197,557985,-1847085,14,29.36,55.44,13.68,3577
"147",1996-06-20 00:06:33.379179,557985,-1847085,15.48,26.76,56.68,13.28,3577
"148",1996-07-06 00:07:23.357874,557985,-1847085,12.12,29.24,57.48,12.04,3577
"149",1996-07-22 00:08:14.326882,557985,-1847085,17.76,25.48,55.48,12.76,3577
"150",1996-08-23 00:09:54.615369,557985,-1847085,18.08,24.76,55.88,12.24,3577
"151",1996-09-08 00:10:49.065135,557985,-1847085,19.32,23.76,55.84,12,3577
"152",1996-09-24 00:11:41.465069,557985,-1847085,17.4,22.44,58.8,11.68,3577
"153",1996-10-26 00:13:19.935952,557985,-1847085,16.32,23.4,58.96,13.4,3577
"154",1996-11-11 00:14:05.260896,557985,-1847085,19.96,19.88,59.04,12.96,3577
"155",1996-11-27 00:14:50.370233,557985,-1847085,54.56,6.48,37.32,14.44,3577
"156",1997-01-14 00:17:07.447304,557985,-1847085,23.28,25.96,49.52,15.08,3577
"157",1997-03-19 00:19:48.679397,557985,-1847085,20.68,38.6,39.44,13.04,3577
"158",1997-04-04 00:20:24.353401,557985,-1847085,20.56,34.36,43.96,12.24,3577
"159",1997-04-20 00:20:58.499602,557985,-1847085,23.8,29.6,45.16,11.44,3577
"160",1997-05-06 00:21:32.256273,557985,-1847085,23.88,27.64,47.32,11.44,3577
"161",1997-05-22 00:22:05.512189,557985,-1847085,24.28,27.56,46.8,10.96,3577
"162",1997-06-07 00:22:39.281167,557985,-1847085,25.96,23.8,48.88,11.88,3577
"163",1997-07-09 00:23:44.798872,557985,-1847085,29.44,21.12,48.12,10.28,3577
"164",1997-08-26 00:25:18.971822,557985,-1847085,32.48,17.8,48.44,9.92,3577
"165",1997-09-11 00:25:46.76228,557985,-1847085,31.84,19.76,47,10.08,3577
"166",1997-09-27 00:26:14.281723,557985,-1847085,28.88,18.52,51.12,10.08,3577
"167",1997-10-13 00:26:40.184026,557985,-1847085,29.6,18.76,50.2,11.04,3577
"168",1997-10-29 00:27:06.911524,557985,-1847085,30.92,17.8,50.08,10.96,3577
"169",1997-11-14 00:27:29.669393,557985,-1847085,28.56,17.64,52.48,11.48,3577
"170",1997-11-30 00:27:53.110762,557985,-1847085,29.72,17.32,51.68,11.2,3577
"171",1997-12-16 00:28:16.746625,557981.25,-1847036.25,0,10.25,87.25,3.125,3577
"172",1998-02-02 00:29:21.635569,557985,-1847085,16.24,36.32,46.12,12.64,3577
"173",1998-02-18 00:29:40.58216,557985,-1847085,13.96,38.84,46,13.12,3577
"174",1998-03-22 00:30:11.196239,557985,-1847085,11.08,39.88,47.72,13.8,3577
"175",1998-04-07 00:30:22.903464,557985,-1847085,17.28,30.68,50.64,11.64,3577
"176",1998-05-09 00:30:50.154571,557985,-1847085,15,30.24,53.72,12.84,3577
"177",1998-05-25 00:31:05.04742,557985,-1847085,16.4,28.88,53.72,12.52,3577
"178",1998-06-10 00:31:19.212404,557985,-1847085,19.8,26.2,52.84,12.24,3577
"179",1998-07-12 00:31:42.656423,557985,-1847085,18.6,25.12,55,12.32,3577
"180",1998-08-13 00:31:56.350835,557935,-1847075,34.1666666666667,14.3333333333333,50.1666666666667,20.6666666666667,3577
"181",1998-08-29 00:32:07.959822,557985,-1847085,22.08,20.88,56,11.76,3577
"182",1998-09-14 00:32:14.675221,557985,-1847085,16.44,22.92,59.56,11.4,3577
"183",1998-09-30 00:32:18.945879,557985,-1847085,17.2,22.16,59.52,12.08,3577
"184",1998-10-16 00:32:18.673739,557985,-1847085,16.28,22.64,60.04,12.92,3577
"185",1998-11-01 00:32:22.884327,557985,-1847085,16.64,23.8,58.36,12.72,3577
"186",1998-11-17 00:32:31.485342,557985,-1847085,15.76,24.64,58.28,13.04,3577
"187",1998-12-03 00:32:27.348564,557973,-1847124,9.9,28.3,60.6,10.3,3577
"188",1998-12-19 00:32:29.587957,557985,-1847085,26.6,20.96,51.36,12.8,3577
"189",1999-01-20 00:32:30.216915,557985,-1847085,23.52,28.72,46.44,12.56,3577
"190",1999-02-21 00:32:44.963959,557985,-1847085,16.4,36.2,46.28,13.44,3577
"191",1999-04-10 00:32:11.360137,557985,-1847085,11.6,42.28,44.8,12.56,3577
"192",1999-05-12 00:32:02.951814,557985,-1847085,17.44,29.8,51.52,12.64,3577
"193",1999-05-28 00:31:38.864494,557985,-1847085,18.6,28.44,51.84,12.04,3577
"194",1999-06-29 00:31:17.409653,557985,-1847085,21.36,26.52,51,11.44,3577
"195",1999-07-15 00:31:12.97649,557985,-1847085,21.32,26.36,51,11.56,3577
"196",1999-07-23 00:46:17.516254,557985,-1847085,21.8,25.04,51.8,12.24,3577
"197",1999-07-31 00:31:12.250488,557985,-1847085,22.08,25.52,51.12,11.04,3577
"198",1999-08-08 00:46:23.90931,557985,-1847085,20.6,25.32,52.96,11.4,3577
"199",1999-08-16 00:31:04.849729,557985,-1847085,23.4,23.8,51.64,11.16,3577
"200",1999-08-24 00:46:23.711888,557985,-1847085,20.84,24.56,53.24,11,3577
"201",1999-09-09 00:46:23.416027,557985,-1847085,22.28,25.36,51,10.68,3577
"202",1999-09-25 00:46:27.612699,557985,-1847085,22.32,23.68,52.68,10.64,3577
"203",1999-10-11 00:46:31.246948,557985,-1847085,20.04,21.8,56.8,10.68,3577
"204",1999-10-19 00:30:03.567491,557985,-1847085,17.32,20.12,61.36,10.52,3577
"205",1999-10-27 00:46:22.187485,557985,-1847085,14,20.08,64.6,9,3577
"206",1999-11-12 00:46:22.18,557985,-1847085,25.28,17.88,55.56,12.76,3577
"207",1999-12-14 00:46:26.82888,557964,-1847085,34.9,17.9,45.6,17,3577
"208",1999-12-22 00:28:34.948428,557985,-1847085,16.64,25.88,56.36,11.08,3577
"209",1999-12-30 00:46:16.33835,557985,-1847085,10.64,34.08,54.36,14.32,3577
"210",2000-01-15 00:46:18.481455,557985,-1847085,27.6,28.12,43.04,11.12,3577
"211",2000-01-31 00:46:17.26828,557985,-1847085,17.6,30.4,50.72,12.8,3577
"212",2000-04-20 00:45:45.892168,557985,-1847085,11.04,34.08,53.68,13.6,3577
"213",2000-05-06 00:45:41.830239,557985,-1847085,11.2,34.6,53.08,14,3577
"214",2000-06-07 00:45:19.428922,557985,-1847085,25.0526315789474,18.5263157894737,55.1578947368421,19.5789473684211,3577
"215",2000-06-23 00:45:16.000131,557985,-1847085,19.04,26.6,53.2,14.44,3577
"216",2000-07-25 00:44:43.154376,557985,-1847085,19.2,25.56,54.12,13.32,3577
"217",2000-08-10 00:44:33.703436,557985,-1847085,19.72,24.12,54.88,12.84,3577
"218",2000-08-26 00:44:27.314308,557985,-1847085,21.36,21.84,55.44,12.64,3577
"219",2000-09-11 00:44:10.484555,557985,-1847085,21.92,22.68,54.4,12,3577
"220",2000-09-27 00:43:55.531992,557985,-1847085,20.4,21.76,56.72,11.84,3577
"221",2000-11-30 00:43:51.831596,557985,-1847085,24.12,31.2,43.6,12.48,3577
"222",2001-01-01 00:43:53.657773,557985,-1847085,13.6,38.92,46.04,14.12,3577
"223",2001-03-22 00:43:40.639649,557985,-1847085,5.16,46.2,47.24,15.24,3577
"224",2001-04-23 00:43:34.441224,557985,-1847085,6.6,41.12,51.28,14.88,3577
"225",2001-05-09 00:43:29.554769,557985,-1847085,8.96,36.88,53.36,14.32,3577
"226",2001-05-25 00:43:19.024343,557985,-1847085,10.88,33.12,55.2,13.64,3577
"227",2001-06-10 00:43:07.149901,557985,-1847085,13,32.08,53.92,13.32,3577
"228",2001-06-26 00:42:50.208698,557985,-1847085,14.28,29.08,55.52,12.84,3577
"229",2001-07-12 00:42:51.231494,557985,-1847085,13.72,25.48,59.64,12.52,3577
"230",2001-07-28 00:42:41.989842,557985,-1847085,15.64,27.44,55.88,12.48,3577
"231",2001-08-13 00:42:22.312926,557985,-1847085,15.08,27.48,56.36,12,3577
"232",2001-08-29 00:42:12.963694,557985,-1847085,16.6,24.76,57.56,11.64,3577
"233",2001-09-14 00:42:01.716103,557985,-1847085,13.44,25.32,60.16,12.04,3577
"234",2001-09-30 00:41:51.385227,557985,-1847085,14.88,24.16,59.72,11.4,3577
"235",2001-10-16 00:41:44.113654,557985,-1847085,13.08,24.28,61.6,12.44,3577
"236",2001-11-01 00:41:47.473911,557985,-1847085,49.08,9.52,39.92,17.52,3577
"237",2001-11-17 00:42:00.470656,557985,-1847085,30.96,13.92,54,15.96,3577
"238",2001-12-03 00:41:59.580709,557985,-1847085,29.12,18.96,50.76,13.08,3577
"239",2001-12-19 00:42:08.042139,557985,-1847085,26.64,21.08,51.36,13.32,3577
"240",2002-01-20 00:42:20.180303,557985,-1847085,24.2,30.88,43.72,9.68,3577
