"","time","pv","npv","bs","ue","x","y","spatial_ref"
"1",1987-09-05 00:38:13.852494,17.96,40.12,40.4,12.84,143265,-1669875,3577
"2",1987-09-21 00:38:36.943955,19.48,40.16,39.04,12.68,143265,-1669875,3577
"3",1987-10-07 00:38:57.048333,20.4,38.76,39.44,12.64,143265,-1669875,3577
"4",1987-10-23 00:39:12.942729,21.4,39.88,37.4,11.2,143265,-1669875,3577
"5",1987-11-08 00:39:33.474701,20.88,45.84,31.84,12.84,143265,-1669875,3577
"6",1987-11-24 00:39:52.143468,21,42.92,34.72,12.2,143265,-1669875,3577
"7",1987-12-10 00:40:04.912026,23.6,43.84,31.2,11.8,143265,-1669875,3577
"8",1987-12-26 00:40:20.979552,22.2,52.4,24.4,6.4,143283,-1669836,3577
"9",1988-01-11 00:40:37.150156,45.8,39.4,13.6,14.72,143265,-1669875,3577
"10",1988-01-27 00:40:55.131089,43.28,23.16,32.48,10.52,143265,-1669875,3577
"11",1988-02-28 00:41:24.094397,50.32,31.96,16.36,13.32,143265,-1669875,3577
"12",1988-03-15 00:41:33.226298,43.04,35.56,20.04,12.48,143265,-1669875,3577
"13",1988-05-02 00:41:51.967202,35.36,41.8,21.56,10.72,143265,-1669875,3577
"14",1988-05-18 00:42:02.397776,31.84,61.24,5.76,13.88,143265,-1669875,3577
"15",1988-06-03 00:42:08.537891,28.68,53.04,17.2,12.8,143265,-1669875,3577
"16",1988-06-19 00:42:13.868207,23.68,51.88,23.32,12.32,143265,-1669875,3577
"17",1988-07-05 00:42:17.851391,23.68,54.28,20.84,11.72,143265,-1669875,3577
"18",1988-07-21 00:42:20.29318,21.08,57.28,20.28,11.12,143265,-1669875,3577
"19",1988-08-06 00:42:21.091228,20.52,55,23.2,11,143265,-1669875,3577
"20",1988-08-22 00:42:23.523196,21.4,58.88,18.52,9.96,143265,-1669875,3577
"21",1988-09-23 00:42:20.087477,19.64,56.28,22.72,10.12,143265,-1669875,3577
"22",1988-10-09 00:42:14.713138,19.32,59.96,19.44,9.84,143265,-1669875,3577
"23",1988-10-25 00:42:11.203217,21.52,55.24,22,10.48,143265,-1669875,3577
"24",1988-11-10 00:42:13.286902,18.04,70.28,10.48,8.68,143265,-1669875,3577
"25",1988-11-26 00:42:13.987366,13.2,49.4,35.92,14.24,143265,-1669875,3577
"26",1988-12-12 00:42:01.843853,30.28,64.84,4.08,10,143265,-1669875,3577
"27",1989-01-13 00:41:48.143625,34.8,40.72,23.24,12.4,143265,-1669875,3577
"28",1989-01-29 00:41:37.958535,35.56,42.72,20.64,11.72,143265,-1669875,3577
"29",1989-03-02 00:41:23.108076,38.4,41.2,19.16,12.96,143265,-1669875,3577
"30",1989-04-03 00:40:41.868428,56.16,33.28,9.36,14.4,143265,-1669875,3577
"31",1989-04-19 00:40:35.582965,53.64,36,9.24,13.4,143265,-1669875,3577
"32",1989-05-05 00:40:23.21139,45.2,44.6,8.96,13.8,143265,-1669875,3577
"33",1989-05-21 00:40:03.019703,38.72,47.72,12.36,12.52,143265,-1669875,3577
"34",1989-06-06 00:39:49.808798,35.6,48.92,14.32,12.16,143265,-1669875,3577
"35",1989-06-22 00:39:24.121094,28.64,51.48,18.68,12.12,143265,-1669875,3577
"36",1989-07-08 00:39:09.043057,25.28,53.96,19.56,11.56,143265,-1669875,3577
"37",1989-07-24 00:38:50.00402,26.28,52.88,19.6,10.88,143265,-1669875,3577
"38",1989-08-09 00:38:29.388377,21.76,52.96,24.16,10.76,143265,-1669875,3577
"39",1989-08-25 00:38:08.448013,20,52.28,26.52,10.6,143265,-1669875,3577
"40",1989-09-26 00:37:21.951258,18.72,60.36,19.76,9.56,143265,-1669875,3577
"41",1989-10-12 00:36:56.827592,19.16,62,17.68,9.64,143265,-1669875,3577
"42",1989-11-13 00:35:55.259155,25.64,55.64,17.52,11.68,143265,-1669875,3577
"43",1989-11-29 00:35:33.004832,29.8,53.76,15.24,11.6,143265,-1669875,3577
"44",1989-12-31 00:34:36.908279,29.56,53.08,16.04,11.56,143265,-1669875,3577
"45",1990-02-17 00:33:04.5444,29.48,55.48,13.72,14.2,143265,-1669875,3577
"46",1990-03-05 00:32:31.593107,33.4,51,14.52,10.44,143265,-1669875,3577
"47",1990-04-22 00:31:52.994115,27.52,54.68,16.68,11.92,143265,-1669875,3577
"48",1990-06-09 00:31:48.832975,27.4,55.32,16.08,12.28,143265,-1669875,3577
"49",1990-06-25 00:31:47.626236,24.52,55.04,19.32,11.8,143265,-1669875,3577
"50",1990-07-11 00:31:45.671823,20.44,58.68,19.72,11.32,143265,-1669875,3577
"51",1990-07-27 00:31:41.570673,19.48,59.96,19.36,10.72,143265,-1669875,3577
"52",1990-08-12 00:31:36.918819,15.56,60.32,23.08,10.56,143265,-1669875,3577
"53",1990-08-28 00:31:31.334856,13.92,60.04,24.76,10.28,143265,-1669875,3577
"54",1990-09-13 00:31:29.108426,11.16,46.72,40.68,11.64,143265,-1669875,3577
"55",1990-09-29 00:31:18.777718,10.12,47.44,40.88,10.92,143265,-1669875,3577
"56",1990-10-15 00:31:12.993335,10.24,48.88,39.44,10.04,143265,-1669875,3577
"57",1990-10-31 00:31:03.843133,12.44,48.4,37.6,10.16,143265,-1669875,3577
"58",1990-12-18 00:31:06.460352,34.36,49.8,14.6,13.04,143265,-1669875,3577
"59",1991-03-24 00:33:12.76311,56.76,33.12,8.84,13.16,143265,-1669875,3577
"60",1991-04-09 00:33:26.103495,37.7619047619048,42.7142857142857,18.2380952380952,22,143260.714285714,-1669876.42857143,3577
"61",1991-04-25 00:33:40.041928,45.96,46.04,6.56,12.88,143265,-1669875,3577
"62",1991-05-11 00:33:59.936217,39.16,49.72,9.84,12.4,143265,-1669875,3577
"63",1991-05-27 00:34:16.054372,26.4,52.12,20.16,14.68,143265,-1669875,3577
"64",1991-06-12 00:34:25.126162,25.48,50.24,23,13.56,143265,-1669875,3577
"65",1991-06-28 00:34:42.922094,24.16,51.56,22.92,13.12,143265,-1669875,3577
"66",1991-07-14 00:34:53.597465,22.84,48.16,27.8,12.28,143265,-1669875,3577
"67",1991-07-30 00:35:06.370471,23.36,46.24,29.04,11.92,143265,-1669875,3577
"68",1991-08-15 00:35:07.927709,20.72,44.2,33.64,11.2,143265,-1669875,3577
"69",1991-08-31 00:35:19.378837,20,40.8,38,10.96,143265,-1669875,3577
"70",1991-09-16 00:35:32.803101,16.88,49.36,32.76,10.08,143265,-1669875,3577
"71",1991-10-18 00:35:47.50484,18.88,48.88,31,10.12,143265,-1669875,3577
"72",1991-11-03 00:35:47.087681,22.36,49.32,27.08,10.44,143265,-1669875,3577
"73",1991-11-19 00:35:50.019745,20.12,50.68,27.76,10.84,143265,-1669875,3577
"74",1991-12-05 00:36:05.729464,24.56,50.12,24.12,11.76,143265,-1669875,3577
"75",1991-12-21 00:35:57.218147,47.84,36.92,13.92,13.08,143265,-1669875,3577
"76",1992-01-22 00:35:53.824299,53.12,37.64,7.92,16.64,143265,-1669875,3577
"77",1992-02-23 00:35:48.972916,36.8333333333333,3.33333333333333,59.8333333333333,16,143280,-1669865,3577
"78",1992-03-10 00:35:48.785655,57.32,23.76,17.92,11.2,143265,-1669875,3577
"79",1992-03-26 00:35:42.58636,51.32,43.96,3.56,13.24,143265,-1669875,3577
"80",1992-04-27 00:35:28.692252,45.2,49.44,4.12,13.96,143265,-1669875,3577
"81",1992-05-29 00:35:12.054451,31.68,61.04,6.04,12.56,143265,-1669875,3577
"82",1992-06-30 00:34:50.301757,20.36,67.88,10.56,10.72,143265,-1669875,3577
"83",1992-07-16 00:34:37.78293,21.12,70,7.92,11,143265,-1669875,3577
"84",1992-08-01 00:34:25.360932,19.76,68.2,10.92,10.68,143265,-1669875,3577
"85",1992-09-02 00:33:55.151963,20.4,71.68,6.72,10.2,143265,-1669875,3577
"86",1992-09-18 00:33:40.975837,16.4,77.16,5.24,10.04,143265,-1669875,3577
"87",1992-10-04 00:33:18.041147,15.68,80.44,3.04,10.68,143265,-1669875,3577
"88",1993-01-08 00:33:11.029355,42,53.04,3.96,13.32,143265,-1669875,3577
"89",1993-01-24 00:33:22.198783,28.72,62.36,7.8,11.52,143265,-1669875,3577
"90",1993-03-13 00:33:48.198325,66.68,27.76,4.16,15.36,143265,-1669875,3577
"91",1993-03-29 00:33:49.271676,45,43.5,11,9,143220,-1669815,3577
"92",1993-04-14 00:33:57.033529,42.44,51.56,4.84,12.24,143265,-1669875,3577
"93",1993-04-30 00:34:04.033939,35,57.72,6.24,12.28,143265,-1669875,3577
"94",1993-05-16 00:34:07.151363,3.8,34.28,60.32,17.92,143265,-1669875,3577
"95",1993-07-19 00:34:01.848975,7,36.16,55.24,13.68,143265,-1669875,3577
"96",1993-08-04 00:34:01.108971,8.48,32.16,57.52,13.24,143265,-1669875,3577
"97",1993-08-20 00:34:00.985032,10.56,32,55.8,12.92,143265,-1669875,3577
"98",1993-09-05 00:33:59.58728,12.16,36.84,49.36,13.12,143265,-1669875,3577
"99",1993-10-07 00:33:53.119653,11.24,40.36,46.92,12.4,143265,-1669875,3577
"100",1993-10-23 00:33:46.331111,10.56,43.08,44.8,12.08,143265,-1669875,3577
"101",1993-11-08 00:33:39.439831,10.6,46.76,41.36,10.64,143265,-1669875,3577
"102",1993-11-24 00:33:32.24493,13.24,49.08,36.28,12.76,143265,-1669875,3577
"103",1994-03-16 00:32:13.989068,52.4,37,9.44,14.64,143265,-1669875,3577
"104",1994-04-01 00:31:58.41291,49.28,39.52,9.96,13.8,143265,-1669875,3577
"105",1994-04-17 00:31:39.914537,40.6,45.6,12.48,13.12,143265,-1669875,3577
"106",1994-05-03 00:31:23.051802,37.04,47.68,14.24,11.92,143265,-1669875,3577
"107",1994-05-19 00:31:05.75086,31.08,49.2,18.52,11.76,143265,-1669875,3577
"108",1994-06-04 00:30:48.089027,26.44,52.84,19.28,10.96,143265,-1669875,3577
"109",1994-06-20 00:30:27.018459,23.92,52.04,22.76,11.4,143265,-1669875,3577
"110",1994-07-06 00:30:01.698268,24.32,52.96,21.28,10.76,143265,-1669875,3577
"111",1994-07-22 00:29:35.219975,21.44,53.84,23.4,10.76,143265,-1669875,3577
"112",1994-08-07 00:29:08.758151,22,52.96,23.6,10.16,143265,-1669875,3577
"113",1994-08-23 00:28:46.326898,20,54.88,23.72,10,143265,-1669875,3577
"114",1994-09-08 00:28:22.612874,19.68,56.96,22,9.56,143265,-1669875,3577
"115",1994-09-24 00:27:56.639033,18.84,60.04,19.72,9.4,143265,-1669875,3577
"116",1994-10-10 00:27:28.058167,17.48,60.8,20.32,9.32,143265,-1669875,3577
"117",1994-10-26 00:26:55.816666,9.32,36.76,52.36,15.4,143265,-1669875,3577
"118",1994-11-11 00:26:21.943856,8.12,43.24,47.12,12,143265,-1669875,3577
"119",1994-11-27 00:25:49.875661,23.4,43.12,32.2,12.52,143265,-1669875,3577
"120",1994-12-29 00:24:49.916992,27.96,39.6,31.24,11,143265,-1669875,3577
"121",1995-01-30 00:23:38.971078,38.8,38.96,20.84,11.76,143265,-1669875,3577
"122",1995-02-15 00:22:58.886314,48.36,39.28,11.28,13.96,143265,-1669875,3577
"123",1995-04-20 00:20:22.67154,47.44,40.72,10.64,12.64,143265,-1669875,3577
"124",1995-05-22 00:18:56.736457,31.68,50.36,16.68,11.48,143265,-1669875,3577
"125",1995-06-07 00:18:10.822962,27.04,55,16.6,11.04,143265,-1669875,3577
"126",1995-06-23 00:17:28.452714,24.6,51.92,22.24,10.44,143265,-1669875,3577
"127",1995-07-09 00:16:44.487517,21.68,56.72,20.28,10.36,143265,-1669875,3577
"128",1995-07-25 00:16:01.559649,20,55.44,23.24,10.24,143265,-1669875,3577
"129",1995-08-26 00:14:34.135823,20.92,53.84,23.96,9.4,143265,-1669875,3577
"130",1995-09-27 00:12:59.190357,18.56,59.16,20.88,9.16,143265,-1669875,3577
