,Unnamed: 0,pv,npv,bs,ue,x,y,spatial_ref,pv_filter,npv_filter,bs_filter,month,year,dayofyear,month_cir,dayofyear_cir,photoperiod,photoperiod_gradient,days_since_fire,fire_severity,grass,shrub,tree,SLGA_1,SLGA_2,SLGA_3,DER_000_999,MAT,MAP,precip_30,precip_90,precip_180,precip_365,precip_730,precip_1095,precip_1460,VPD_lag,VPD_7,VPD_14,VPD_30,tmax_lag,tmax_7,tmax_14,tmax_30,tmin_lag,tmin_7,tmin_14,tmin_30,time,CO2
0,1,31.4,46.45,20.95,10.0,1266340.5,-3688504.5,3577,30.018193154454874,47.12288011695908,21.63681343882582,9,1987,266,0.6816387600233341,0.6659504202533076,12.110586205780002,0.03395099880168573,10950,0,34.4,0.3,1.0,1.2739139572861984,-1.9819573337948564,0.614752626222266,69.235504,18.141864729821876,386.9848519258721,41.111328125,33.427734375,92.099609375,234.6064453125,362.603515625,234.53125,591.8818359375,1.1003078641297328,6.366704067262632,3.5604803853513487,6.954912856160859,25.5361328125,143.005859375,125.87109375,255.3515625,5.6552734375,41.5400390625,34.2236328125,107.755859375,1987-09-23,348.25
1,2,24.75,47.55,26.5,9.5,1266340.5,-3688504.5,3577,25.86241768637281,48.603417858371486,24.37277712254493,10,1987,282,0.7401768531960371,0.6980014132400785,12.654844425982297,0.033878511812076795,10950,0,34.4,0.3,1.0,1.2739139572861984,-1.9819573337948564,0.614752626222266,69.235504,18.141864729821876,386.9848519258721,8.640625,65.822265625,96.724609375,217.634765625,342.072265625,244.8408203125,604.9326171875,0.9032772166184748,6.216981377525082,12.088130323287032,14.082908007528637,21.216796875,135.9208984375,194.2021484375,352.53515625,5.7685546875,51.9453125,93.30859375,98.5390625,1987-10-09,348.25
2,3,20.4,50.45,28.05,9.25,1266340.5,-3688504.5,3577,21.071438399921345,48.589185019486955,29.150410780596555,10,1987,298,0.7401768531960371,0.7287113685069326,13.18575958491353,0.03227122096465607,10950,0,34.4,0.3,1.0,1.2739139572861984,-1.9819573337948564,0.614752626222266,69.235504,18.141864729821876,386.9848519258721,29.8486328125,56.7060546875,103.677734375,186.541015625,311.3232421875,308.7255859375,583.8720703125,1.2025384552298215,5.902464967369209,7.421971249729973,21.643312061767876,26.38671875,140.1318359375,154.8583984375,400.6337890625,11.2490234375,61.5341796875,72.283203125,163.7099609375,1987-10-25,348.25
3,4,14.45,51.0,33.15,8.85,1266340.5,-3688504.5,3577,16.16915913463897,47.771362701625925,34.79464539302003,11,1987,314,0.793577803248942,0.7580212844421134,13.671731274165273,0.028228108366345595,10950,0,34.4,0.3,1.0,1.2739139572861984,-1.9819573337948564,0.614752626222266,69.235504,18.141864729821876,386.9848519258721,22.33203125,57.3447265625,100.056640625,194.9951171875,293.1474609375,318.41015625,585.6376953125,1.2160220532153798,9.483981153924189,16.09621768216971,17.116910114398234,30.4140625,163.5947265625,231.8828125,375.130859375,14.490234375,84.619140625,117.6865234375,170.1953125,1987-11-10,348.25
4,5,10.85,45.4,42.35,8.3,1266340.5,-3688504.5,3577,11.64997075078341,46.67137134880948,40.32217494980656,11,1987,330,0.793577803248942,0.7858748492644535,14.064272144659288,0.02065782368974567,10950,0,34.4,0.3,1.0,1.2739139572861984,-1.9819573337948564,0.614752626222266,69.235504,18.141864729821876,386.9848519258721,11.4248046875,70.0029296875,94.6943359375,157.455078125,327.9091796875,329.169921875,571.150390625,1.2815675492874354,11.193311470590025,14.693647523967813,29.487573714713726,23.09375,173.0341796875,219.8369140625,475.41015625,9.5400390625,87.26171875,112.8203125,242.7958984375,1987-11-26,348.25
5,6,9.4,46.6,42.6,8.05,1266340.5,-3688504.5,3577,7.978751129331606,45.64087074775932,44.94145645089921,12,1987,346,0.8414709848078965,0.8122185492125877,14.302510667526832,0.009267506822165927,10950,0,34.4,0.3,1.0,1.2739139572861984,-1.9819573337948564,0.614752626222266,69.235504,18.141864729821876,386.9848519258721,18.755859375,31.2451171875,115.1298828125,155.056640625,291.6953125,387.3447265625,512.7021484375,2.684417667525839,12.994438424783027,11.94964591776017,29.602443843663643,36.005859375,185.8955078125,195.71484375,466.29296875,19.23828125,82.1865234375,85.3818359375,231.671875,1987-12-12,348.25
6,7,8.55,39.35,50.7,7.8,1266340.5,-3688504.5,3577,5.590865171979718,44.86176002789781,48.052709906192916,1,1988,29,0.08323691620031025,0.07936848928377097,13.794014418367873,-0.026293099255205732,10950,0,34.4,0.3,1.0,1.2739139572861984,-1.9819573337948564,0.614752626222266,69.235504,18.141864729821876,386.9848519258721,7.44921875,60.8330078125,83.8447265625,186.3125,306.4765625,399.185546875,279.0498046875,3.160490877576962,14.030357476127172,19.562437189845124,44.683667230403834,36.931640625,193.4912109375,254.3720703125,583.62890625,21.4619140625,95.841796875,139.392578125,329.4208984375,1988-01-29,350.45
7,8,7.4,44.2,47.05,8.15,1266340.5,-3688504.5,3577,4.892164801142392,44.346177661341315,49.247918335527075,2,1988,45,0.16589613269341502,0.1229755828297412,13.32352145339141,-0.03160795213644718,10950,0,34.4,0.3,1.0,1.2739139572861984,-1.9819573337948564,0.614752626222266,69.235504,18.141864729821876,386.9848519258721,5.76953125,66.81640625,72.4521484375,196.8544921875,308.791015625,392.8212890625,268.8095703125,2.009870958335,12.083980232659863,15.080121683641746,42.80071264153725,31.236328125,183.005859375,228.4072265625,559.9296875,20.0634765625,92.0576171875,123.7490234375,301.2099609375,1988-02-14,350.45
8,9,8.1,43.75,46.55,8.3,1266340.5,-3688504.5,3577,4.6433717984794605,45.437218818326585,48.433998715415626,3,1988,61,0.24740395925452294,0.16634640909591059,12.794245312992558,-0.03401425155715643,10950,0,34.4,0.3,1.0,1.2739139572861984,-1.9819573337948564,0.614752626222266,69.235504,18.141864729821876,386.9848519258721,5.9189453125,51.609375,61.8916015625,181.6484375,347.8583984375,393.1572265625,245.9990234375,2.596237333529072,17.36041432573648,14.084955359780945,32.85437249404704,36.49609375,220.2763671875,214.6123046875,501.251953125,21.962890625,122.447265625,107.7421875,269.986328125,1988-03-01,350.45
9,10,7.45,36.6,54.45,7.4,1266340.5,-3688504.5,3577,8.098703154429497,45.2835198856803,45.19676113359648,3,1988,77,0.24740395925452294,0.20939764172668204,12.243501206710524,-0.034548868983913295,10950,0,34.4,0.3,1.0,1.2739139572861984,-1.9819573337948564,0.614752626222266,69.235504,18.141864729821876,386.9848519258721,2.9970703125,48.3740234375,55.6494140625,166.6630859375,378.1943359375,388.5888671875,246.03515625,1.4730454337106562,8.866143077179629,14.112498674023824,38.41423798592331,27.9609375,153.2763671875,223.09765625,543.466796875,10.533203125,80.3974609375,119.8427734375,292.3681640625,1988-03-17,350.45
